customer_id,signup_date,gender,age,city_tier,signup_channel
CUST_1000,2025-04-13,Male,58,Tier 1,Paid Ads
CUST_1001,2025-12-15,Female,29,Tier 2,Organic Direct
CUST_1002,2025-09-28,Male,43,Tier 2,Organic Direct
CUST_1003,2025-04-17,Female,63,Tier 3,Referral
CUST_1004,2025-03-13,Female,51,Tier 1,Social Media
CUST_1005,2025-07-08,Female,31,Tier 1,Organic Direct
CUST_1006,2025-01-21,Male,43,Tier 1,Social Media
CUST_1007,2025-04-13,Female,62,Tier 3,Paid Ads
CUST_1008,2025-05-02,Female,44,Tier 3,Organic Direct
CUST_1009,2025-08-03,Female,26,Tier 2,Referral
CUST_1010,2025-11-27,Female,43,Tier 2,Paid Ads
CUST_1011,2025-03-29,Male,64,Tier 2,Referral
CUST_1012,2025-04-10,Female,39,Tier 1,Paid Ads
CUST_1013,2025-12-26,Male,64,Tier 3,Organic Direct
CUST_1014,2025-06-01,Male,47,Tier 2,Referral
CUST_1015,2025-05-11,Male,60,Tier 1,Referral
CUST_1016,2025-05-30,Male,34,Tier 2,Paid Ads
CUST_1017,2025-11-05,Male,43,Tier 1,Referral
CUST_1018,2025-09-15,Male,53,Tier 1,Paid Ads
CUST_1019,2025-12-10,Female,18,Tier 2,Paid Ads
CUST_1020,2025-10-21,Male,25,Tier 1,Paid Ads
CUST_1021,2025-07-11,Male,52,Tier 2,Paid Ads
CUST_1022,2025-10-04,Male,32,Tier 1,Organic Direct
CUST_1023,2025-06-10,Female,64,Tier 1,Paid Ads
CUST_1024,2025-11-10,Female,39,Tier 1,Social Media
CUST_1025,2025-01-22,Male,31,Tier 1,Referral
CUST_1026,2025-09-10,Female,43,Tier 2,Social Media
CUST_1027,2025-08-24,Male,45,Tier 1,Organic Direct
CUST_1028,2025-12-11,Male,40,Tier 2,Social Media
CUST_1029,2025-02-18,Female,31,Tier 2,Referral
CUST_1030,2025-02-28,Male,41,Tier 2,Social Media
CUST_1031,2025-06-19,Female,19,Tier 3,Organic Direct
CUST_1032,2025-07-07,Female,62,Tier 2,Paid Ads
CUST_1033,2025-09-28,Male,43,Tier 1,Social Media
CUST_1034,2025-07-09,Male,31,Tier 1,Organic Direct
CUST_1035,2025-06-24,Female,24,Tier 1,Organic Direct
CUST_1036,2025-02-20,Male,20,Tier 2,Referral
CUST_1037,2025-12-30,Male,64,Tier 1,Referral
CUST_1038,2025-02-24,Male,40,Tier 2,Social Media
CUST_1039,2025-09-01,Female,63,Tier 2,Paid Ads
CUST_1040,2025-11-16,Female,60,Tier 1,Organic Direct
CUST_1041,2025-05-11,Male,64,Tier 3,Social Media
CUST_1042,2025-11-03,Female,62,Tier 1,Organic Direct
