order_id,customer_id,order_date,order_amount_inr,category,payment_method,is_discount_used
ORD_541460,CUST_1000,2026-06-27,1175.8,Beauty,UPI,0
ORD_664396,CUST_1000,2026-08-18,2449.02,Beauty,UPI,1
ORD_652467,CUST_1000,2025-10-24,688.08,Books,Debit Card,1
ORD_667201,CUST_1001,2026-02-21,556.92,Home & Kitchen,Credit Card,0
ORD_256104,CUST_1001,2025-08-22,480.7,Books,UPI,1
ORD_679111,CUST_1002,2026-02-28,597.21,Beauty,COD,0
ORD_985155,CUST_1002,2025-10-02,3025.97,Apparel,Debit Card,1
ORD_157022,CUST_1002,2025-08-01,1792.3,Home & Kitchen,Debit Card,0
ORD_914037,CUST_1002,2025-06-14,491.99,Books,Credit Card,1
ORD_334213,CUST_1003,2025-08-18,1508.94,Apparel,COD,0
ORD_589536,CUST_1003,2025-06-13,218.29,Apparel,UPI,1
ORD_610259,CUST_1004,2026-02-11,354.85,Apparel,Credit Card,0
ORD_399631,CUST_1004,2026-02-07,1782.08,Home & Kitchen,UPI,1
ORD_917052,CUST_1004,2026-07-27,947.34,Apparel,UPI,0
ORD_524127,CUST_1004,2025-06-17,1812.46,Electronics,UPI,1
ORD_103631,CUST_1004,2025-06-29,691.44,Apparel,Credit Card,0
ORD_107099,CUST_1005,2026-05-09,1295.99,Home & Kitchen,UPI,1
ORD_163936,CUST_1005,2025-08-26,1910.22,Books,COD,0
ORD_163530,CUST_1005,2026-06-20,312.22,Home & Kitchen,COD,0
ORD_247603,CUST_1005,2026-03-04,935.54,Beauty,Debit Card,1
ORD_858994,CUST_1005,2026-06-26,2497.62,Home & Kitchen,Debit Card,0
ORD_521486,CUST_1006,2026-06-03,5356.48,Electronics,UPI,0
ORD_619089,CUST_1006,2025-07-19,642.39,Beauty,Credit Card,0
ORD_571256,CUST_1006,2026-06-13,1175.87,Apparel,Credit Card,1
ORD_670126,CUST_1007,2026-02-28,4148.38,Electronics,UPI,0
ORD_285165,CUST_1007,2025-10-02,938.14,Apparel,Credit Card,0
ORD_507507,CUST_1007,2025-12-30,1890.44,Home & Kitchen,Credit Card,0
ORD_177794,CUST_1007,2025-09-30,2738.8,Electronics,COD,1
ORD_287921,CUST_1007,2025-10-27,2310.0,Books,Credit Card,1
ORD_941965,CUST_1007,2025-10-13,498.76,Home & Kitchen,COD,0
ORD_317322,CUST_1007,2026-05-11,4356.2,Books,UPI,0
ORD_277558,CUST_1008,2025-08-27,828.7,Home & Kitchen,UPI,0
ORD_356695,CUST_1008,2025-06-03,729.77,Home & Kitchen,Debit Card,1
ORD_236998,CUST_1008,2025-09-16,1717.1,Books,Debit Card,0
ORD_863711,CUST_1009,2026-05-28,1807.49,Electronics,Credit Card,1
ORD_860109,CUST_1009,2026-01-17,1631.68,Apparel,UPI,0
ORD_621608,CUST_1009,2026-07-25,207.87,Apparel,Credit Card,0
ORD_651120,CUST_1009,2025-06-14,2276.72,Books,UPI,1
ORD_792111,CUST_1009,2026-01-29,2967.46,Home & Kitchen,UPI,0
ORD_959877,CUST_1010,2026-04-06,1984.21,Books,Credit Card,1
ORD_204195,CUST_1010,2025-12-05,2571.26,Beauty,UPI,0
ORD_168099,CUST_1010,2026-01-07,1742.2,Books,COD,0
ORD_368787,CUST_1010,2026-06-23,281.37,Apparel,Credit Card,1
ORD_964661,CUST_1011,2025-10-30,810.24,Apparel,Credit Card,0
ORD_870915,CUST_1011,2025-12-09,1301.88,Books,COD,0
ORD_761616,CUST_1011,2025-11-30,603.5,Beauty,UPI,0
ORD_785614,CUST_1012,2025-08-17,2262.85,Electronics,Credit Card,0
ORD_744600,CUST_1012,2025-07-31,6041.77,Home & Kitchen,UPI,1
ORD_601597,CUST_1012,2026-02-09,1524.57,Electronics,Debit Card,0
ORD_123284,CUST_1012,2026-07-08,650.23,Apparel,Debit Card,0
ORD_370143,CUST_1012,2026-07-26,1183.51,Books,Credit Card,1
ORD_995331,CUST_1012,2025-08-09,1696.13,Apparel,Debit Card,0
ORD_168920,CUST_1012,2025-09-08,2375.53,Beauty,COD,0
ORD_979005,CUST_1013,2026-05-08,655.12,Home & Kitchen,Debit Card,1
ORD_248087,CUST_1013,2026-06-29,676.08,Apparel,UPI,1
ORD_875723,CUST_1013,2026-04-25,1202.89,Home & Kitchen,COD,1
ORD_466008,CUST_1013,2025-06-21,1340.28,Electronics,Debit Card,0
ORD_166707,CUST_1014,2025-10-21,3407.33,Books,Credit Card,1
ORD_595479,CUST_1014,2026-06-19,1668.95,Books,Credit Card,1
ORD_550930,CUST_1015,2026-05-11,4607.21,Beauty,UPI,0
ORD_368448,CUST_1015,2025-11-25,2109.49,Apparel,UPI,1
ORD_905878,CUST_1015,2026-03-16,1311.59,Books,UPI,1
ORD_309093,CUST_1016,2025-09-06,1194.5,Books,UPI,1
ORD_623375,CUST_1016,2025-07-27,1858.56,Apparel,COD,0
ORD_506140,CUST_1016,2025-11-14,1382.61,Beauty,Debit Card,0
ORD_953695,CUST_1016,2026-01-29,2514.62,Books,COD,0
ORD_242055,CUST_1017,2025-12-30,1816.58,Beauty,COD,0
ORD_549916,CUST_1017,2025-11-15,6498.52,Apparel,UPI,0
